,TMAX
1881,7.2
1882,
1883,7.5
1884,0.2
1885,5.8
1886,7.7
1887,5.2
1888,1.5
1889,9.5
1890,12.1
1891,11.5
1892,3.1
1893,3.1
1894,3.7
1895,5.8
1896,8.3
1897,10.4
1898,-1.6
1899,7.4
1900,6.6
1901,9.3
1902,6.9
1903,
1904,8.7
1905,3.3
1906,12.2
1907,13.2
1908,2.2
1909,14.0
1910,9.5
1911,7.0
1912,4.4
1913,9.5
1914,11.5
1915,5.7
1916,4.9
1917,6.0
1918,15.2
1919,4.8
1920,2.8
1921,8.0
1922,3.8
1923,7.7
1924,3.3
1925,0.4
1926,5.0
1927,2.2
1928,1.6
1929,3.1
1930,9.6
1931,8.5
1932,8.0
1933,10.2
1934,7.1
1935,9.1
1936,1.2
1937,10.3
1938,10.1
1939,3.2
1940,7.3
1941,1.2
1942,5.5
1943,13.3
1944,13.6
1945,1.5
1946,4.2
1947,7.2
1948,11.5
1949,10.3
1950,7.2
1951,8.4
1952,2.6
1953,7.3
1954,5.6
1955,5.9
1956,7.7
1957,8.6
1958,7.1
1959,9.7
1960,5.0
1961,11.0
1962,7.6
1963,8.4
1964,11.5
1965,3.0
1966,8.9
1967,13.6
1968,5.5
1969,11.0
1970,8.9
1971,5.6
1972,6.7
1973,2.5
1974,6.3
1975,9.5
1976,2.1
1977,7.8
1978,8.3
1979,9.7
1980,12.6
1981,6.5
1982,2.0
1983,13.2
1984,9.9
1985,5.5
1986,8.9
1987,12.4
1988,10.4
1989,6.7
1990,11.7
1991,12.0
1992,6.5
1993,5.3
1994,4.3
1995,13.3
1996,7.2
1997,6.1
1998,12.7
1999,4.2
2000,10.4
2001,10.6
2002,3.9
2003,8.8
2004,9.0
2005,10.3
2006,9.7
2007,10.4
2008,8.8
2009,5.0
2010,6.3
2011,10.2
2012,11.4
2013,9.6
2014,
2015,
2016,5.2
2017,
2018,17.0
