,DATE,PRCP,TAVG,TMAX,TMIN
284,1881-10-12,0.7,9.1,11.9,6.7
649,1882-10-12,0.0,-0.5,,-2.0
1014,1883-10-12,4.9,7.5,9.8,4.6
1380,1884-10-12,0.0,10.5,12.0,8.1
1745,1885-10-12,0.0,9.8,13.9,5.9
2110,1886-10-12,0.0,7.5,9.7,5.0
2475,1887-10-12,6.9,0.7,2.1,-0.7
2841,1888-10-12,1.2,4.6,8.2,2.0
3206,1889-10-12,0.0,11.1,15.6,9.1
3571,1890-10-12,1.6,1.3,1.8,0.1
3936,1891-10-12,0.0,8.2,15.6,2.5
4302,1892-10-12,1.8,7.7,9.6,4.4
4667,1893-10-12,2.0,9.2,12.0,8.0
5032,1894-10-12,0.0,6.9,9.6,4.1
5397,1895-10-12,0.0,9.4,11.4,8.5
5763,1896-10-12,2.0,13.0,16.7,9.2
6128,1897-10-12,0.2,7.2,9.4,5.6
6493,1898-10-12,17.7,2.0,7.0,0.3
6858,1899-10-12,0.0,10.4,11.3,4.5
7223,1900-10-12,0.0,5.6,7.4,2.3
7588,1901-10-12,0.0,7.2,11.4,2.5
7953,1902-10-12,0.0,2.3,4.0,1.1
8318,1903-10-12,0.0,0.1,,-1.1
8684,1904-10-12,0.0,4.1,7.9,-0.7
9049,1905-10-12,0.1,7.1,9.4,5.6
9414,1906-10-12,0.0,5.6,9.0,3.5
9779,1907-10-12,0.7,5.9,7.2,5.2
10145,1908-10-12,0.0,9.6,10.2,8.5
10510,1909-10-12,0.0,8.2,9.3,5.3
10875,1910-10-12,0.0,5.1,9.7,-0.9
11240,1911-10-12,0.0,-1.5,1.6,-3.4
11606,1912-10-12,0.0,4.5,5.6,2.9
11971,1913-10-12,0.8,0.7,3.2,-0.3
12336,1914-10-12,0.0,3.2,7.6,-1.3
12701,1915-10-12,0.0,1.9,6.1,-1.1
13067,1916-10-12,0.4,5.0,8.4,3.9
13432,1917-10-12,11.8,7.5,14.0,5.5
13797,1918-10-12,1.4,9.5,11.5,6.3
14162,1919-10-12,0.0,3.5,7.6,0.7
14528,1920-10-12,0.0,9.1,10.1,7.6
14893,1921-10-12,0.1,5.8,7.9,4.2
15258,1922-10-12,0.1,7.1,10.4,2.7
15623,1923-10-12,0.2,7.6,9.5,4.1
15989,1924-10-12,2.8,9.9,11.7,6.8
16354,1925-10-12,0.2,2.3,5.1,0.1
16719,1926-10-12,0.0,6.0,9.0,3.6
17084,1927-10-12,0.0,0.9,2.6,-0.2
17450,1928-10-12,4.9,7.7,9.2,6.0
17815,1929-10-12,1.5,8.4,10.5,6.6
18180,1930-10-12,0.0,3.1,7.5,0.4
18545,1931-10-12,0.0,8.8,10.2,6.8
18911,1932-10-12,2.0,5.6,7.1,2.7
19276,1933-10-12,4.7,12.6,15.2,11.0
19641,1934-10-12,2.0,8.7,11.2,7.9
20006,1935-10-12,0.3,10.0,12.5,8.3
20372,1936-10-12,0.0,1.2,2.3,-0.4
20737,1937-10-12,0.0,1.8,5.6,-0.6
21102,1938-10-12,0.9,8.4,10.5,6.7
21467,1939-10-12,0.0,2.8,7.6,-1.3
21833,1940-10-12,2.7,8.4,10.6,7.2
22198,1941-10-12,0.0,-0.5,3.0,-2.2
22563,1942-10-12,0.1,8.8,11.5,7.0
22928,1943-10-12,0.0,8.6,11.1,6.9
23294,1944-10-12,0.0,8.2,14.7,3.7
23659,1945-10-12,0.0,-0.1,3.6,-4.3
24024,1946-10-12,0.4,3.0,9.2,0.7
24389,1947-10-12,0.0,8.5,10.6,6.1
24755,1948-10-12,0.0,4.4,6.6,2.4
25120,1949-10-12,0.0,5.5,7.8,1.9
25485,1950-10-12,5.5,10.3,11.9,9.4
