,05-14
1881,16.5
1882,
1883,
1884,2.4
1885,7.2
1886,17.7
1887,9.4
1888,10.0
1889,12.5
1890,16.2
1891,17.4
1892,11.6
1893,13.9
1894,20.2
1895,9.0
1896,7.7
1897,26.4
1898,17.5
1899,10.0
1900,5.6
1901,21.9
1902,11.7
1903,9.0
1904,12.9
1905,12.7
1906,10.4
1907,7.3
1908,6.2
1909,11.1
1910,23.2
1911,15.4
1912,6.4
1913,6.5
1914,9.0
1915,15.4
1916,5.7
1917,16.6
1918,15.3
1919,5.0
1920,22.6
1921,17.7
1922,9.9
1923,14.8
1924,13.1
1925,15.5
1926,19.4
1927,10.7
1928,12.8
1929,25.4
1930,18.4
1931,16.0
1932,16.3
1933,7.5
1934,11.2
1935,5.2
1936,11.0
1937,16.5
1938,14.0
1939,13.8
1940,22.0
1941,9.4
1942,13.1
1943,13.2
1944,24.9
1945,14.6
1946,15.8
1947,14.9
1948,17.3
1949,19.2
1950,17.9
1951,9.3
1952,19.5
1953,17.5
1954,6.4
1955,16.4
1956,17.9
1957,22.6
1958,9.8
1959,22.2
1960,13.7
1961,10.3
1962,14.7
1963,16.1
1964,20.6
1965,13.4
1966,21.8
1967,19.5
1968,15.2
1969,12.5
1970,18.9
1971,14.0
1972,12.0
1973,11.1
1974,13.4
1975,18.7
1976,20.1
1977,24.9
1978,13.8
1979,14.3
1980,11.3
1981,16.4
1982,8.6
1983,14.3
1984,19.9
1985,16.7
1986,19.0
1987,24.6
1988,19.4
1989,19.0
1990,19.7
1991,17.0
1992,14.2
1993,25.6
1994,12.1
1995,8.5
1996,21.0
1997,16.7
1998,13.5
1999,9.1
2000,11.0
2001,12.4
2002,23.8
2003,25.6
2004,11.2
2005,8.7
2006,16.7
2007,19.9
2008,8.0
2009,11.1
2010,27.7
2011,15.5
2012,16.6
2013,17.1
2014,
2015,
2016,20.7
2017,15.6
2018,29.4
