,DATE,TMAX
349,1881-12-16,-5.7
714,1882-12-16,
1079,1883-12-16,2.7
1445,1884-12-16,-9.0
1810,1885-12-16,1.5
2175,1886-12-16,1.4
2540,1887-12-16,-1.6
2906,1888-12-16,-2.3
3271,1889-12-16,-4.2
3636,1890-12-16,0.4
4001,1891-12-16,0.0
4367,1892-12-16,-8.0
4732,1893-12-16,1.4
5097,1894-12-16,-5.7
5462,1895-12-16,-7.7
5828,1896-12-16,-4.9
6193,1897-12-16,-5.7
6558,1898-12-16,-13.0
6923,1899-12-16,1.1
7288,1900-12-16,1.2
7653,1901-12-16,-6.5
8018,1902-12-16,-3.0
8383,1903-12-16,
8749,1904-12-16,1.2
9114,1905-12-16,1.1
9479,1906-12-16,-3.0
9844,1907-12-16,-11.3
10210,1908-12-16,1.6
10575,1909-12-16,2.1
10940,1910-12-16,1.6
11305,1911-12-16,0.7
11671,1912-12-16,-1.6
12036,1913-12-16,0.3
12401,1914-12-16,1.3
12766,1915-12-16,-8.4
13132,1916-12-16,2.5
13497,1917-12-16,-1.5
13862,1918-12-16,1.7
14227,1919-12-16,-3.4
14593,1920-12-16,-4.0
14958,1921-12-16,-4.6
15323,1922-12-16,-7.5
15688,1923-12-16,1.9
16054,1924-12-16,-0.9
16419,1925-12-16,-7.9
16784,1926-12-16,-6.9
17149,1927-12-16,-10.5
17515,1928-12-16,-4.8
17880,1929-12-16,3.3
18245,1930-12-16,-11.9
18610,1931-12-16,-4.7
18976,1932-12-16,1.5
19341,1933-12-16,-9.1
19706,1934-12-16,0.0
20071,1935-12-16,-6.9
20437,1936-12-16,2.8
20802,1937-12-16,-5.4
21167,1938-12-16,-14.9
21532,1939-12-16,-1.3
21898,1940-12-16,-4.2
22263,1941-12-16,-11.6
22628,1942-12-16,-6.7
22993,1943-12-16,0.7
23359,1944-12-16,-4.7
23724,1945-12-16,-10.1
24089,1946-12-16,-3.5
24454,1947-12-16,-2.4
24820,1948-12-16,2.5
25185,1949-12-16,0.7
25550,1950-12-16,4.3
25915,1951-12-16,1.8
26281,1952-12-16,1.5
26646,1953-12-16,-4.2
27011,1954-12-16,1.4
27376,1955-12-16,-18.5
27742,1956-12-16,3.2
28107,1957-12-16,0.9
28472,1958-12-16,2.8
28837,1959-12-16,-6.8
29203,1960-12-16,0.2
29568,1961-12-16,-9.3
29933,1962-12-16,-2.6
30298,1963-12-16,-1.5
30664,1964-12-16,2.5
31029,1965-12-16,-5.1
31394,1966-12-16,-10.6
31759,1967-12-16,4.0
32125,1968-12-16,-0.3
32490,1969-12-16,-5.9
32855,1970-12-16,-3.9
33220,1971-12-16,-2.9
33586,1972-12-16,3.0
33951,1973-12-16,-5.2
34316,1974-12-16,0.6
34681,1975-12-16,3.0
35047,1976-12-16,-2.4
35412,1977-12-16,1.7
35777,1978-12-16,-11.9
36142,1979-12-16,-9.6
36508,1980-12-16,2.1
36873,1981-12-16,-7.5
37238,1982-12-16,2.7
37603,1983-12-16,-2.6
37969,1984-12-16,-4.5
38334,1985-12-16,-2.0
38699,1986-12-16,-17.6
39064,1987-12-16,-3.5
39430,1988-12-16,-1.2
39795,1989-12-16,-7.0
40160,1990-12-16,-0.2
40525,1991-12-16,1.0
40891,1992-12-16,5.6
41256,1993-12-16,-3.4
41621,1994-12-16,-6.3
41986,1995-12-16,2.8
42352,1996-12-16,-3.2
42717,1997-12-16,-5.5
43082,1998-12-16,4.0
43447,1999-12-16,-0.1
43813,2000-12-16,4.1
44178,2001-12-16,-2.6
44543,2002-12-16,-4.3
44908,2003-12-16,0.7
45274,2004-12-16,3.8
45639,2005-12-16,1.9
46004,2006-12-16,6.3
46369,2007-12-16,2.2
46735,2008-12-16,-5.8
47100,2009-12-16,-10.6
47465,2010-12-16,-5.7
47830,2011-12-16,4.6
48196,2012-12-16,-9.7
48561,2013-12-16,3.0
48926,2014-12-16,3.4
49270,2015-12-16,2.4
49636,2016-12-16,
50001,2017-12-16,
50359,2018-12-16,
