,DATE,TMIN
63,1881-03-05,-12.9
428,1882-03-05,-10.0
793,1883-03-05,-7.4
1159,1884-03-05,-18.1
1524,1885-03-05,-16.4
1889,1886-03-05,-13.3
2254,1887-03-05,-4.0
2620,1888-03-05,-24.3
2985,1889-03-05,-20.4
3350,1890-03-05,-6.0
3715,1891-03-05,-5.7
4081,1892-03-05,-19.0
4446,1893-03-05,-4.2
4811,1894-03-05,-8.9
5176,1895-03-05,-3.1
5542,1896-03-05,-0.4
5907,1897-03-05,-8.5
6272,1898-03-05,-8.9
6637,1899-03-05,-18.2
7002,1900-03-05,-16.3
7367,1901-03-05,-10.9
7732,1902-03-05,-15.7
8097,1903-03-05,-0.4
8463,1904-03-05,-13.3
8828,1905-03-05,-2.6
9193,1906-03-05,-8.3
9558,1907-03-05,-4.8
9924,1908-03-05,-0.3
10289,1909-03-05,-1.3
10654,1910-03-05,-0.4
11019,1911-03-05,-0.4
11385,1912-03-05,0.9
11750,1913-03-05,-5.2
12115,1914-03-05,-1.9
12480,1915-03-05,-14.2
12846,1916-03-05,-10.8
13211,1917-03-05,-21.0
13576,1918-03-05,-10.0
13941,1919-03-05,-5.2
14307,1920-03-05,-3.5
14672,1921-03-05,-2.6
15037,1922-03-05,-3.6
15402,1923-03-05,-13.7
15768,1924-03-05,-3.5
16133,1925-03-05,-5.5
16498,1926-03-05,-0.1
16863,1927-03-05,0.2
17229,1928-03-05,-16.2
17594,1929-03-05,-17.7
17959,1930-03-05,-3.9
18324,1931-03-05,-11.8
18690,1932-03-05,-11.0
19055,1933-03-05,-10.6
19420,1934-03-05,-3.9
19785,1935-03-05,-13.8
20151,1936-03-05,-0.9
20516,1937-03-05,-12.9
20881,1938-03-05,0.6
21246,1939-03-05,-0.8
21612,1940-03-05,-13.3
21977,1941-03-05,-6.3
22342,1942-03-05,-24.2
22707,1943-03-05,-7.2
23073,1944-03-05,-0.6
23438,1945-03-05,-16.4
23803,1946-03-05,-6.6
24168,1947-03-05,-11.6
24534,1948-03-05,-2.6
24899,1949-03-05,-8.7
25264,1950-03-05,-0.6
25629,1951-03-05,-10.2
25995,1952-03-05,-13.7
26360,1953-03-05,-14.4
26725,1954-03-05,0.5
27090,1955-03-05,-15.7
27456,1956-03-05,-9.5
27821,1957-03-05,-10.6
28186,1958-03-05,-10.2
28551,1959-03-05,-0.1
28917,1960-03-05,-18.7
29282,1961-03-05,0.5
29647,1962-03-05,-14.4
30012,1963-03-05,-8.6
30378,1964-03-05,-20.0
30743,1965-03-05,-8.1
31108,1966-03-05,-0.5
31473,1967-03-05,-5.1
31839,1968-03-05,-4.7
32204,1969-03-05,-10.8
32569,1970-03-05,-1.2
32934,1971-03-05,-11.1
33300,1972-03-05,-8.2
33665,1973-03-05,-11.2
34030,1974-03-05,-6.3
34395,1975-03-05,1.6
34761,1976-03-05,-11.9
35126,1977-03-05,-9.2
35491,1978-03-05,1.4
35856,1979-03-05,0.8
36222,1980-03-05,-10.4
36587,1981-03-05,-9.6
36952,1982-03-05,0.3
37317,1983-03-05,-2.1
37683,1984-03-05,-1.8
38048,1985-03-05,-5.7
38413,1986-03-05,-2.2
38778,1987-03-05,-20.6
39144,1988-03-05,-3.3
39509,1989-03-05,0.5
39874,1990-03-05,-4.5
40239,1991-03-05,-1.9
40605,1992-03-05,-5.5
40970,1993-03-05,-8.2
41335,1994-03-05,-7.2
41700,1995-03-05,1.0
42066,1996-03-05,-11.4
42431,1997-03-05,-1.2
42796,1998-03-05,-3.9
43161,1999-03-05,-7.8
43527,2000-03-05,-4.3
43892,2001-03-05,-8.2
44257,2002-03-05,-1.4
44622,2003-03-05,-21.5
44988,2004-03-05,-14.4
45353,2005-03-05,-8.5
45718,2006-03-05,-9.2
46083,2007-03-05,-0.8
46449,2008-03-05,-8.3
46814,2009-03-05,-0.1
47179,2010-03-05,-8.7
47544,2011-03-05,-2.1
47910,2012-03-05,-5.2
48275,2013-03-05,-9.5
48640,2014-03-05,
49005,2015-03-05,
49350,2016-03-05,
49715,2017-03-05,
50080,2018-03-05,
50438,2019-03-05,
