,07-12
1881,14.4
1882,13.4
1883,13.6
1884,12.9
1885,14.0
1886,10.8
1887,10.9
1888,12.9
1889,14.4
1890,12.9
1891,13.4
1892,10.8
1893,10.2
1894,14.2
1895,10.4
1896,14.8
1897,12.9
1898,15.2
1899,13.4
1900,12.6
1901,13.4
1902,13.6
1903,15.4
1904,10.1
1905,12.5
1906,19.5
1907,14.9
1908,11.3
1909,14.5
1910,14.9
1911,10.9
1912,15.7
1913,16.1
1914,19.5
1915,12.8
1916,13.1
1917,11.4
1918,15.2
1919,20.2
1920,15.8
1921,12.6
1922,12.7
1923,14.7
1924,11.5
1925,13.8
1926,13.2
1927,18.4
1928,11.5
1929,13.0
1930,10.7
1931,15.0
1932,14.4
1933,18.1
1934,16.5
1935,9.7
1936,16.3
1937,10.9
1938,16.5
1939,13.1
1940,16.6
1941,18.7
1942,13.4
1943,18.7
1944,17.4
1945,18.1
1946,15.3
1947,12.6
1948,12.4
1949,14.5
1950,9.5
1951,14.7
1952,17.2
1953,16.8
1954,18.4
1955,13.7
1956,13.8
1957,15.8
1958,8.2
1959,13.7
1960,18.6
1961,12.2
1962,14.0
1963,14.0
1964,13.3
1965,9.1
1966,13.3
1967,14.0
1968,9.5
1969,14.0
1970,13.3
1971,16.8
1972,18.9
1973,15.6
1974,15.5
1975,13.5
1976,12.0
1977,9.7
1978,13.2
1979,13.8
1980,8.7
1981,16.1
1982,15.7
1983,17.5
1984,18.2
1985,13.6
1986,14.9
1987,9.8
1988,15.4
1989,17.1
1990,14.6
1991,15.5
1992,15.2
1993,13.4
1994,18.1
1995,11.9
1996,15.0
1997,13.1
1998,16.9
1999,19.8
2000,14.5
2001,18.6
2002,17.9
2003,15.1
2004,14.8
2005,17.7
2006,21.0
2007,16.3
2008,14.5
2009,15.8
2010,19.6
2011,18.9
2012,15.3
2013,15.3
2014,
2015,
2016,
2017,
2018,
