"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-01","1.40",",,,r","15.9",",r","20.0",",,,r","11.8",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-02","2.31",",,,r","16.4",",r","22.4",",,,r","10.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-03","0.35",",,,r","22.0",",r","29.4",",,,r","14.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-04","1.23",",,,r","35.7",",r","41.1",",,,r","30.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-05","0.62",",,,r","46.1",",r","54.0",",,,r","38.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-06","1.43",",,,r","55.1",",r","62.6",",,,r","47.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-07","2.54",",,,r","61.8",",r","69.0",",,,r","54.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-08","2.24",",,,r","63.6",",r","71.7",",,,r","55.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-09","2.71",",,,r","49.3",",r","55.3",",,,r","43.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-10","3.07",",,,r","42.7",",r","46.5",",,,r","38.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-11","0.57",",,,r","29.1",",r","32.4",",,,r","25.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1900-12","2.00",",,,r","23.1",",r","27.9",",,,r","18.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-01","0.88",",,,r","25.5",",r","29.1",",,,r","21.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-02","1.30",",,,r","12.8",",r","19.8",",,,r","5.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-03","0.76",",,,r","21.3",",r","30.1",",,,r","12.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-04","2.23",",,,r","37.9",",r","44.2",",,,r","31.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-05","0.89",",,,r","48.3",",r","57.3",",,,r","39.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-06","1.61",",,,r","63.2",",r","71.2",",,,r","55.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-07","1.21",",,,r","66.1",",r","74.5",",,,r","57.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-08","2.32",",,,r","64.1",",r","71.1",",,,r","57.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-09","0.44",",,,r","53.3",",r","59.6",",,,r","46.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-10","0.69",",,,r","44.9",",r","50.7",",,,r","39.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-11","1.83",",,,r","27.0",",r","31.8",",,,r","22.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1901-12","1.66",",,,r","15.3",",r","20.2",",,,r","10.4",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-01","1.83",",,,r","14.5",",r","22.3",",,,r","6.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-02","0.92",",,,r","17.6",",r","25.0",",,,r","10.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-03","2.09",",,,r","22.4",",r","28.7",",,,r","16.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-04","0.51",",,,r","28.9",",r","35.1",",,,r","22.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-05","0.96",",,,r","46.7",",r","53.5",",,,r","39.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-06","2.66",",,,r","54.7",",r","61.8",",,,r","47.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-07","1.85",",,,r","59.3",",r","65.5",",,,r","53.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-08","5.63",",,,r","56.7",",r","62.1",",,,r","51.4",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-09","1.52",",,,r","48.6",",r","53.7",",,,r","43.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-10","1.89",",,,r","36.4",",r","40.2",",,,r","32.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-11","1.20",",,,r","26.1",",r","30.4",",,,r","21.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1902-12","1.38",",,,r","15.5",",r","20.4",",,,r","10.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-01","1.55",",,,r",,,,,"13.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-02","1.66",",,,r",,,,,"19.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-03","0.64",",,,r",,,,,"27.8",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-04","1.50",",,,r",,,,,"36.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-05","3.79",",,,r","50.8",",r","57.9",",,,r","43.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-06","3.30",",,,r","61.7",",r","69.3",",,,r","54.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-07","2.09",",,,r","62.7",",r","69.0",",,,r","56.4",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-08","4.27",",,,r","59.2",",r","64.8",",,,r","53.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-09","1.05",",,,r","53.4",",r","59.6",",,,r","47.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-10","2.66",",,,r",,,,,"30.8",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-11","1.36",",,,r",,,,,"30.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1903-12","0.71",",,,r",,,,,"20.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-01","0.57",",,,r","26.1",",r","29.3",",,,r","23.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-02","1.50",",,,r","18.3",",r","23.2",",,,r","13.4",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-03","0.19",",,,r","24.6",",r","32.1",",,,r","17.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-04","1.07",",,,r","39.7",",r","47.1",",,,r","32.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-05","2.58",",,,r","44.9",",r","50.8",",,,r","38.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-06","2.25",",,,r","54.3",",r","61.6",",,,r","47.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-07","2.04",",,,r","58.3",",r","64.5",",,,r","52.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-08","5.62",",,,r","58.0",",r","63.7",",,,r","52.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-09","0.86",",,,r","51.5",",r","57.8",",,,r","45.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-10","1.27",",,,r","43.3",",r","47.3",",,,r","39.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-11","1.33",",,,r","28.4",",r","32.3",",,,r","24.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1904-12","2.41",",,,r","21.0",",r","25.6",",,,r","16.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-01","1.24",",,,r","16.4",",r","22.8",",,,r","9.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-02","0.83",",,,r","24.1",",r","29.4",",,,r","18.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-03","0.94",",,,r","29.5",",r","33.9",",,,r","25.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-04","1.56",",,,r","36.3",",r","42.8",",,,r","29.8",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-05","1.59",",,,r","51.9",",r","59.5",",,,r","44.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-06","1.20",",,,r","62.6",",r","69.9",",,,r","55.3",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-07","2.24",",,,r","63.5",",r","69.9",",,,r","57.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-08","2.77",",,,r","59.2",",r","65.7",",,,r","52.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-09","1.84",",,,r","50.4",",r","55.2",",,,r","45.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-10","2.99",",,,r","38.9",",r","42.0",",,,r","35.7",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-11","1.35",",,,r","32.2",",r","35.0",",,,r","29.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1905-12","1.11",",,,r","25.7",",r","29.9",",,,r","21.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-01","1.07",",,,r","22.7",",r","27.4",",,,r","18.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-02","0.70",",,,r","22.7",",r","27.6",",,,r","17.8",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-03","1.91",",,,r","23.9",",r","30.7",",,,r","17.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-04","1.20",",,,r","40.5",",r","48.7",",,,r","32.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-05","1.83",",,,r","60.5",",r","70.0",",,,r","51.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-06","3.07",",,,r","60.2",",r","67.6",",,,r","52.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-07","4.14",",,,r","65.8",",r","73.4",",,,r","58.1",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-08","3.24",",,,r","58.1",",r","64.4",",,,r","51.8",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-09","1.56",",,,r","48.0",",r","54.4",",,,r","41.5",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-10","1.46",",,,r","40.9",",r","45.2",",,,r","36.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-11","2.66",",,,r","32.0",",r","35.0",",,,r","29.0",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1906-12","1.20",",,,r","22.9",",r","27.1",",,,r","18.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1907-01","0.61",",,,r",,,,,"3.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1907-02","0.47",",,,r","19.7",",r","24.4",",,,r","14.9",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1907-03","0.17",",,,r","27.4",",r","34.1",",,,r","20.6",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1907-04","2.10",",,,r","38.5",",r","44.9",",,,r","32.2",",,,r"
"RSM00026063","ST. PETERSBURG, RS","59.9667","30.3","3.0","1907-05","2.43",",,,r","45.1",",r","51.5",",,,r","38.7",",,,r"
